date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
11-08-2021,"@adrianaalcaldep @Delta @UnitedAirlines_ Has @UnltedAirlines required all on board flight personnel to be vaccinated? 
#CovidIsNotOver 
#DeltaVariant 
#CovidVaccine 
#VaxandMask","Ohio, USA",11,required board flight personnel vaccinated covidisnotover deltavariant covidvaccine vaxandmask,0.0,0.0,Neutral,anticipation
11-08-2021,Sitting here trying to imagine how the Republican Party would react if HIV/AIDS was an airborne disease. #vaccinated #covidvaccine #safety #COVID19,"Montana, USA",11,sitting trying imagine republican party would react hivaids airborne disease vaccinated covidvaccine safety covid19,0.0,0.0,Neutral,fear
11-08-2021,"I have lots of anti-vax folks trolling my feed today if anyone is bored and would enjoy some deep, albeit hair-pulling conversation…please #vaccinated #CovidVaccine #coronavirus #covid19","Montana, USA",11,lots antivax folks trolling feed today anyone bored would enjoy deep albeit hairpulling conversationplease vaccinated covidvaccine coronavirus covid19,-0.0333333333333333,0.6333333333333333,Negative,trust
10-08-2021,Hey #medtwitter #GITwitter Convinced at least 1 clinic patient on the fence to get the #CovidVaccine !!! Win today!! #GetVaccinatedNow,"Maryland, USA",10,medtwitter gitwitter convinced least clinic patient fence covidvaccine today getvaccinatednow,-0.3,0.4,Negative,positive
10-08-2021,"It is possible to hold that our lifestyle choices can help prevent and mitigate diseases while simultaneously believing that taking the #CovidVaccine is the right, smart, and good thing to do.  Those aren’t mutually exclusive categories if anyone was wondering.","North Carolina, USA",10,possible hold lifestyle choices help prevent mitigate diseases simultaneously believing taking covidvaccine right smart good thing arent mutually exclusive categories anyone wondering,0.3,0.6946428571428571,Positive,trust
10-08-2021,"If the Covid vaccine worked then it wouldn’t be free. Insulin, cancer medications, HIV/AIDS medicines, etc are not free and yet they work. Anyone catch my drift? #tuesdaymotivations #thoughtoftheday #CovidVaccine","Tennessee, USA",10,covid vaccine worked wouldnt free insulin cancer medications hivaids medicines free work anyone catch drift tuesdaymotivations thoughtoftheday covidvaccine,0.4,0.8,Positive,fear
10-08-2021,Marjorie Taylor Greene is a menace. She’s a real danger to society. She shouldn’t be allowed to lie like this and endanger people with no real consequences. #marjorietaylorgreene @RepMTG #COVIDIOTS #covid #covid19 #BelAirViv #CovidVaccine https://t.co/WOtLwaPFXK,"Maryland, USA",10,marjorie taylor greene menace shes real danger society shouldnt allowed like endanger people real consequences marjorietaylorgreene covidiots covid covid19 belairviv covidvaccine,0.2,0.3,Positive,negative
10-08-2021,"3:00 mark 
You only need one to listen for 1 minute people. #CovidVaccine https://t.co/sDigTlfnoz","Pennsylvania, USA",10,mark need listen minute people covidvaccine,0.0,0.0,Neutral,No emotion
10-08-2021,"What’s a great way to help celebrate Missouri’s 200th birthday today? By getting your Covid vaccine! It’s a simple, easy gesture that anybody can do!
#Missouri #MissouriBicentennial #Missouri200 #CovidVaccine","Missouri, USA",10,whats great help celebrate missouris 200th birthday today getting covid vaccine simple easy gesture anybody missouri missouribicentennial missouri200 covidvaccine,0.4111111111111111,0.6468253968253969,Positive,positive
10-08-2021,@stevecofield @AdamHillLVRJ @cofieldandco @AriProduces Just in time for the start of the college and NFL football seasons - Pfizer vaccine is only 42% effective against PREVENTING the Delta variant. Moderna 76% effective. Go Bills! Go Vikings! #CovidVaccine https://t.co/L6VdOcN2Kc,"Nevada, USA",10,time start college football seasons pfizer vaccine effective preventing delta variant moderna effective bills vikings covidvaccine,0.6,0.8,Positive,positive
